date,day,steps,distance,altitude,calories
2018-04-01,Sunday,7626,4.18,16,2407
2018-04-02,Monday,3702,2.02,7,2274
2018-04-03,Tuesday,954,0.52,0,1911
2018-04-04,Wednesday,1992,1.09,3,2119
2018-04-05,Thursday,11416,6.26,28,2717
2018-04-06,Friday,7487,4.1,15,2399
2018-04-07,Saturday,7563,4.14,6,2324
2018-04-08,Sunday,3614,1.98,0,1941
2018-04-09,Monday,10095,5.53,16,3235
2018-04-10,Tuesday,6957,3.81,19,2226
2018-04-11,Wednesday,4331,2.46,9,2093
2018-04-12,Thursday,7098,3.97,18,2252
2018-04-13,Friday,10002,5.48,19,2543
2018-04-14,Saturday,11311,6.2,0,2541
2018-04-15,Sunday,20782,11.39,46,3137
2018-04-16,Monday,10822,5.93,17,2451
2018-04-17,Tuesday,10676,5.86,25,2540
2018-04-18,Wednesday,11686,6.4,11,2466
2018-04-19,Thursday,12231,6.7,26,2545
2018-04-20,Friday,10141,5.56,21,2407
2018-04-21,Saturday,11371,6.23,27,2397
2018-04-22,Sunday,22346,12.25,40,3100
2018-04-23,Monday,11021,6.13,38,2512
2018-04-24,Tuesday,11319,6.29,29,2595
2018-04-25,Wednesday,11669,6.41,28,2449
2018-04-26,Thursday,10984,6.1,24,2421
2018-04-27,Friday,11831,6.49,19,2377
2018-04-28,Saturday,9654,5.29,8,2386
2018-04-29,Sunday,6127,3.36,0,2150
2018-04-30,Monday,5669,3.11,24,2073
2018-05-01,Tuesday,11977,6.57,36,2530
2018-05-02,Wednesday,6480,3.55,16,2182
2018-05-03,Thursday,8542,4.85,19,2329
2018-05-04,Friday,5570,3.05,17,2018
2018-05-05,Saturday,17526,9.6,18,2869
2018-05-06,Sunday,6916,3.79,5,2165
2018-05-07,Monday,12109,6.64,15,2510
2018-05-08,Tuesday,9345,5.12,20,2264
2018-05-09,Wednesday,5629,3.08,18,2031
2018-05-10,Thursday,7079,3.88,23,2221
2018-05-11,Friday,7662,4.2,20,2204
2018-05-12,Saturday,14107,7.82,13,3062
2018-05-13,Sunday,8070,4.42,12,2303
2018-05-14,Monday,12887,7.09,15,2600
2018-05-15,Tuesday,12929,7.08,20,2590
2018-05-16,Wednesday,11940,6.54,21,2535
2018-05-17,Thursday,6352,3.47,0,2351
2018-05-18,Friday,10983,6.04,21,2419
2018-05-19,Saturday,1853,1.01,0,1905
2018-05-20,Sunday,13581,7.44,4,2781
2018-05-21,Monday,12307,6.75,36,2512
2018-05-22,Tuesday,4363,2.39,3,2096
2018-05-23,Wednesday,9432,5.17,25,2326
2018-05-24,Thursday,12319,6.75,18,2525
2018-05-25,Friday,6732,3.69,17,2162
2018-05-26,Saturday,5647,3.17,3,2336
2018-05-27,Sunday,13347,7.31,11,2657
2018-05-28,Monday,15879,8.73,25,2783
2018-05-29,Tuesday,19539,10.95,42,3157
2018-05-30,Wednesday,17390,9.53,36,2838
2018-05-31,Thursday,8896,4.87,15,2586
2018-06-01,Friday,1440,0.79,4,1843
2018-06-02,Saturday,10659,5.84,35,2243
2018-06-03,Sunday,10132,5.55,35,2505
2018-06-04,Monday,3402,1.86,2,2032
2018-06-05,Tuesday,29228,16.03,28,3528
2018-06-06,Wednesday,6069,3.32,8,2192
2018-06-07,Thursday,2020,1.1,7,2006
2018-06-08,Friday,9278,5.16,7,2347
2018-06-09,Saturday,8045,4.41,39,2302
2018-06-10,Sunday,5280,2.95,7,2204
2018-06-11,Monday,17793,9.8,17,3006
2018-06-12,Tuesday,3643,1.99,4,2050
2018-06-13,Wednesday,1130,0.62,1,1909
2018-06-14,Thursday,12381,6.78,18,2665
2018-06-15,Friday,2831,1.55,6,2259
2018-06-16,Saturday,6909,3.78,37,2260
2018-06-17,Sunday,6140,3.79,42,2313
2018-06-18,Monday,12885,7.06,18,2565
2018-06-19,Tuesday,4825,2.81,5,2179
2018-06-20,Wednesday,9553,5.25,20,2536
2018-06-21,Thursday,7721,4.23,7,2194
2018-06-22,Friday,2926,1.6,3,2061
2018-06-23,Saturday,10321,5.64,18,3112
2018-06-24,Sunday,11276,6.17,18,2975
2018-06-25,Monday,3287,1.79,4,2109
2018-06-26,Tuesday,3963,2.17,5,2153
2018-06-27,Wednesday,18553,10.17,28,2895
2018-06-28,Thursday,8913,4.87,20,2800
2018-06-29,Friday,4137,2.26,1,2033
2018-06-30,Saturday,8489,4.64,23,2671
2018-07-01,Sunday,10294,5.63,15,2914
2018-07-02,Monday,7238,3.96,19,2640
2018-07-03,Tuesday,13500,7.39,16,3025
2018-07-04,Wednesday,3405,1.86,3,2030
2018-07-05,Thursday,8633,4.72,14,2655
2018-07-06,Friday,9495,5.19,15,2824
2018-07-07,Saturday,9379,5.13,21,2742
2018-07-08,Sunday,13819,7.57,51,3081
2018-07-09,Monday,10745,5.88,17,2847
2018-07-10,Tuesday,10515,5.79,15,2904
2018-07-11,Wednesday,9237,5.06,13,2329
2018-07-12,Thursday,10461,5.72,16,2868
2018-07-13,Friday,3980,2.18,4,2008
2018-07-14,Saturday,5465,2.98,20,2150
2018-07-15,Sunday,17966,9.84,77,3459
2018-07-16,Monday,4741,2.65,3,2141
2018-07-17,Tuesday,12023,6.58,12,2876
2018-07-18,Wednesday,8360,4.57,16,2735
2018-07-19,Thursday,7960,4.35,15,2558
2018-07-20,Friday,5388,2.97,1,2142
2018-07-21,Saturday,8770,4.8,14,2766
2018-07-22,Sunday,962,0.52,2,1810
2018-07-23,Monday,10434,5.71,18,2698
2018-07-24,Tuesday,9078,4.96,15,2714
2018-07-25,Wednesday,11116,6.08,11,2916
2018-07-26,Thursday,6358,3.48,38,2315
2018-07-27,Friday,7508,4.11,17,2326
2018-07-28,Saturday,3649,2.0,19,2076
2018-07-29,Sunday,10400,5.7,33,2529
2018-07-30,Monday,5298,2.9,13,2214
2018-07-31,Tuesday,7770,4.25,9,2941
2018-08-01,Wednesday,7893,4.32,3,2142
2018-08-02,Thursday,12985,7.11,22,3432
2018-08-03,Friday,8175,4.47,6,2560
2018-08-04,Saturday,19997,10.96,19,3018
2018-08-05,Sunday,14015,7.67,35,2954
2018-08-06,Monday,5488,3.0,4,2334
2018-08-07,Tuesday,12963,7.09,16,3178
2018-08-08,Wednesday,10743,5.87,14,2949
2018-08-09,Thursday,5597,3.06,13,2209
2018-08-10,Friday,14669,8.04,51,2593
2018-08-11,Saturday,14612,8.1,24,3255
2018-08-12,Sunday,4188,2.29,3,2110
2018-08-13,Monday,11226,6.15,14,2460
2018-08-14,Tuesday,8165,4.47,42,2363
2018-08-15,Wednesday,5162,2.82,11,2315
2018-08-16,Thursday,13307,7.28,15,3143
2018-08-17,Friday,8086,4.42,16,2689
2018-08-18,Saturday,12830,7.02,18,2917
2018-08-19,Sunday,24060,13.33,265,3503
2018-08-20,Monday,10191,5.75,15,2870
2018-08-21,Tuesday,4991,2.73,10,2108
2018-08-22,Wednesday,32911,18.21,318,3919
2018-08-23,Thursday,2341,1.28,1,1963
2018-08-24,Friday,2145,1.17,6,1925
2018-08-25,Saturday,8038,4.4,14,2777
2018-08-26,Sunday,1434,0.78,2,1925
2018-08-27,Monday,12563,6.87,10,3206
2018-08-28,Tuesday,12836,7.02,13,3075
2018-08-29,Wednesday,606,0.33,1,1789
2018-08-30,Thursday,8869,4.85,13,2677
2018-08-31,Friday,3612,1.97,7,2217
2018-09-01,Saturday,10654,5.83,10,2964
2018-09-02,Sunday,8203,4.49,15,2656
2018-09-03,Monday,4268,2.34,2,2002
2018-09-04,Tuesday,9517,5.27,12,2481
2018-09-05,Wednesday,4431,2.43,5,2078
2018-09-06,Thursday,8416,4.69,13,2538
2018-09-07,Friday,21744,12.12,21,3600
2018-09-08,Saturday,10757,5.88,3,2809
2018-09-09,Sunday,12463,6.9,19,3079
2018-09-10,Monday,8626,4.72,51,2555
2018-09-11,Tuesday,16232,9.15,56,2894
2018-09-12,Wednesday,16490,9.03,48,2926
2018-09-13,Thursday,15103,8.28,46,2727
2018-09-14,Friday,8365,4.58,27,2197
